#q2lo q2hi ylo yhi qTlo qThi PDF0  uncertainty
2 2.25 0 1 0 0.25 7202.725044626975 435.4318337938282
2 2.25 0 1 0.25 0.5 21567.39271231694 8.327705504918685
2 2.25 0 1 0.5 0.75 32708.82699214583 7.284791733267677
2 2.25 0 1 0.75 1 39710.17972304837 37.29963122991295
2 2.25 0 1 1 1.25 42674.50401093271 8.014188631441153
2 2.25 0 1 1.25 1.5 40848.42791380888 23.235044622792
2 2.25 0 1 1.5 1.75 34192.36977550722 16.04404620332695
2 2.25 0 1 1.75 2 25405.68558506452 4.638165216730225
2 2.25 0 1 2 2.25 17375.41453146005 1.621161383195374
2 2.25 0 1 2.25 2.5 11504.41505974526 0.900017990664028
2 2.25 0 1 2.5 2.75 7776.518044192091 0.5541991070471931
2 2.25 0 1 2.75 3 5554.088251540691 0.740792758825399
2 2.25 0 1 3 3.25 4203.936511967797 0.7492376253255211
2 2.25 0 1 3.25 3.5 3307.955607482823 0.6826117788469555
2 2.25 0 1 3.5 3.75 2691.24240243019 0.5940482612392434
2 2.25 0 1 3.75 4 2235.234900999351 0.5034648863215807
2 2.25 0 1 4 4.25 1873.70956610575 0.4202668565199019
2 2.25 0 1 4.25 4.5 1583.80267000593 0.3482530940912056
2 2.25 0 1 4.5 4.75 1349.053571515351 0.2880917136544667
2 2.25 0 1 4.75 5 1157.248800135499 0.2379325302797497
2 2.25 0 1 5 5.25 999.2165004625812 0.1969248720826045
2 2.25 0 1 5.25 5.5 867.9950966190954 0.1633634892938289
2 2.25 0 1 5.5 5.75 758.2453596955488 0.1359024122424444
2 2.25 0 1 5.75 6 665.8328456123031 0.1135086399380043
2 2.25 0 1 6 6.25 587.5272530288404 0.0951534953197779
2 2.25 0 1 6.25 6.5 520.7830880931589 0.08006969290147481
2 2.25 0 1 6.5 6.75 463.5783759216062 0.06768281491974903
2 2.25 0 1 6.75 7 414.2954200540408 0.05740057937379106
2 2.25 0 1 7 7.25 371.6298891301923 0.04890912543629611
2 2.25 0 1 7.25 7.5 334.5239245918452 0.0418078754249791
2 2.25 0 1 7.5 7.75 302.1133874632834 0.03588362400864753
2 2.25 0 1 7.75 8 273.6886157756909 0.03091953552791438
2 2.25 0 1 8 8.25 248.6634478167472 0.02672356869132386
